"ahh","pdb","amh","rata.sekolah","kode","grup"
67.71,612.93,95.74,8.1,"Kab. Tapanuli Tengah2008","baik"
67.91,616.8,95.75,8.12,"Kab. Tapanuli Tengah2009","baik"
68.11,618.97,95.78,8.13,"Kab. Tapanuli Tengah2010","baik"
68.26,623.03,95.82,8.15,"Kab. Tapanuli Tengah2011","baik"
68.4,626.92,95.84,8.19,"Kab. Tapanuli Tengah2012","baik"
66.9,612.16,98.09,8.67,"Kab. Tapanuli Utara2004","baik"
67.43,620.52,98.55,8.8,"Kab. Tapanuli Utara2005","baik"
68.2,621.53,98.55,8.8,"Kab. Tapanuli Utara2006","baik"
68.64,623.94,98.55,8.8,"Kab. Tapanuli Utara2007","baik"
68.95,628.68,98.55,8.8,"Kab. Tapanuli Utara2008","baik"
69.32,629.88,98.57,8.82,"Kab. Tapanuli Utara2009","baik"
69.7,632.74,98.59,8.85,"Kab. Tapanuli Utara2010","baik"
70.02,636.35,98.6,8.97,"Kab. Tapanuli Utara2011","baik"
70.33,639.71,98.62,9.03,"Kab. Tapanuli Utara2012","baik"
68.86,630.25,96.63,9.68,"Kab. Toba Samosir2004","baik"
69.85,631.62,96.8,9.7,"Kab. Toba Samosir2005","baik"
70.4,632.63,97.92,9.7,"Kab. Toba Samosir2006","baik"
70.52,633.83,97.92,9.7,"Kab. Toba Samosir2007","baik"
70.54,638.57,98.15,9.7,"Kab. Toba Samosir2008","baik"
70.61,643.12,98.34,9.74,"Kab. Toba Samosir2009","baik"
70.68,646.36,98.35,9.8,"Kab. Toba Samosir2010","baik"
70.75,649.91,98.49,9.85,"Kab. Toba Samosir2011","baik"
70.82,652.85,98.5,9.87,"Kab. Toba Samosir2012","baik"
66.1,619.14,97.94,8.11,"Kab. Labuhan Batu2004","baik"
66.83,620.34,97.9,8.2,"Kab. Labuhan Batu2005","baik"
67.6,624.25,98.37,8.3,"Kab. Labuhan Batu2006","baik"
68.16,626.8,98.37,8.3,"Kab. Labuhan Batu2007","baik"
68.66,631.57,97.92,8.3,"Kab. Labuhan Batu2008","baik"
69.2,634.24,97.94,8.32,"Kab. Labuhan Batu2009","baik"
69.54,635.23,97.95,8.53,"Kab. Labuhan Batu2010","baik"
70.02,639.53,97.96,8.55,"Kab. Labuhan Batu2011","baik"
70.23,643.08,98.32,8.78,"Kab. Labuhan Batu2012","baik"
67.7,617.28,93.99,7.07,"Kab. Asahan2004","tidak baik"
68,618.36,94.23,7.2,"Kab. Asahan2005","baik"
68.4,619.37,95.62,7.2,"Kab. Asahan2006","baik"
68.59,620,96.55,7.37,"Kab. Asahan2007","baik"
68.69,624.23,96.68,7.37,"Kab. Asahan2008","baik"
68.84,627.64,96.79,7.67,"Kab. Asahan2009","baik"
68.98,631.24,96.9,7.67,"Kab. Asahan2010","baik"
69.13,634.67,97.7,7.92,"Kab. Asahan2011","baik"
69.28,637.36,98,8.17,"Kab. Asahan2012","baik"
67.5,611.13,95.77,8.4,"Kab. Simalungun2004","baik"
68.4,612.29,96.2,8.59,"Kab. Simalungun2005","baik"
68.5,616.34,96.2,8.6,"Kab. Simalungun2006","baik"
68.67,618.08,97.31,8.6,"Kab. Simalungun2007","baik"
68.73,622.2,97.31,8.6,"Kab. Simalungun2008","baik"
68.85,628.59,97.37,8.69,"Kab. Simalungun2009","baik"
68.96,632.14,97.5,8.7,"Kab. Simalungun2010","baik"
